,Job titles by band
Band 2,"Clinical support worker (Physiotherapy, Occupational Therapy, Speech and Language Therapy)."
Band 3,"Clinical support worker at a higher level (Physiotherapy, Occupational Therapy, Speech and Language therapy)."
Band 4,"Occupational therapy technician, Speech and language therapy assistant/associate practitioner, Podiatry technician, Clinical psychology assistant practitioner, Pharmacy technician."
Band 5,"Physiotherapist, Occupational Therapist, Speech and Language Therapist, Podiatrist, Clinical psychology assistant practitioner (higher level), and Counsellor (entry-level)."
Band 6,"Physiotherapist specialist, Occupational Therapist specialist, Speech and Language Therapist Specialist, Podiatrist specialist, Clinical psychology trainee, Counsellor, Pharmacist, and Arts Therapist (entry-level)."
Band 7,"Physiotherapist (advanced), Specialist physiotherapist (respiratory problems), Specialist physiotherapist (community), Physiotherapy team manager, Speech and Language Therapist (advanced), Podiatrist (advanced), Podiatry team manager, Clinical psychologist, Counsellor (specialist), Arts Therapist."
Band 8a,"Physiotherapist principal, Occupational therapist principal, Speech and Language Therapist principal, Podiatrist principal."
Band 8a-b,"Physiotherapist consultant, Occupational Therapist consultant, Clinical psychologist principal, Speech and Language Therapist principal, Podiatric consultant (surgery), and Arts Therapist principal."
Band 8a-c,"Counsellor professional manager, Counsellor consultant, Consultant Speech and Language Therapist."
Band 8c-d,"Clinical psychologist consultant, Podiatrist (surgery), head of arts therapies, arts therapies consultant."
Band 8d-9,"Clinical psychologist consultant (professional), Lead/head of psychology services, Podiatric consultant (surgery), Head of service."
